# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
balloon	n. 浴室；厕所；盥洗室
ban	n. [电] 电池，蓄电池n. [法]殴打n. [军]炮台，炮位
banana	n. 战役；斗争vi. 斗争；作战vt. 与…作战n. (Battle)人名；(英)巴特尔；(法)巴特勒；(西)巴特莱
band	n. 海湾；狗吠声vt. 向…吠叫vi. 吠叫；大声叫嚷n. (Bay)人名；(越)七；(英、老)贝；(德、意、罗、捷、土、丹)巴伊；(匈)鲍伊；(瑞典)巴伊
bandage	vt. 是； 有，存在； 做，成为； 发生n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝
bankrupt	n. 豆；嘴峰；毫无价值的东西vt. 击…的头部n. (Bean)人名；(英)比恩n.熊v.负担,忍受,带给,具有,挤,向n.胡须
banner	n. [机] 轴承；关系；方位；举止v. 忍受（bear的ing形式）
barber	adj. 美丽的；出色的；迷人的
bare	n. 美；美丽；美人；美好的东西
barely	conj. 因为，由于prep. 因为某人（某事物）
bargain	vi. 成为；变得；变成vt. 适合；相称
barn	n. 蜜蜂，蜂；勤劳的人n. (Bee)人名；(赤几)贝埃；(东南亚国家华语)美；(英)比(女子教名Beatrix和Beatrice的昵称)
barren	n. 啤酒vi. 喝啤酒n. (Beer)人名；(法、德、俄、罗、捷、瑞典)贝尔；(英、西、南非)[纺] 比尔adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可
barrier	adv. 事先；预先adj. 提前的；预先准备好的
base	vt. 乞讨；恳求；回避正题vi. 乞讨；请求n. (Beg)人名；(德、塞、巴基)贝格
basement	n. 乞丐；穷人；家伙vt. 使贫穷；使沦为乞丐
basic	vt. 开始vi. 开始；首先
basically	n. 初学者；新手
basin	n. 开始；起点v. 开始；创建（begin的ing形式）
basis	n. 代表；利益
basket	vi. 表现；（机器等）运转；举止端正；（事物）起某种作用vt. 使守规矩；使表现得…
basketball	n. 行为，举止；态度；反应adv.在后地 prep.在...之后479481491
batch	n. 相信，信赖；信仰；教义
bath	vi. 信任；料想；笃信宗教vt. 相信；认为；信任
bathe	n. 铃，钟；钟声，铃声；钟状物vt. 装钟于，系铃于vi. 鸣钟；成钟状鼓起
bathroom	vi. 属于，应归入；居住；适宜；应被放置
battery	adj. 心爱的；挚爱的n. 心爱的人；亲爱的教友prep.在...下面,adv.在下,在页底
battle	n. 带；腰带；地带vt. 用带子系住；用皮带抽打vi. 猛击n. (Belt)人名；(英、法、德、西)贝尔特
be	prep. 在……之下；（对某人来说）不够好，不相称；低于，次于n.在下方，在底下
beach	adj. 有益的，有利的；可享利益的
bean	n. 浆果（葡萄，番茄等）vi. 采集浆果n. (Berry)人名；(法、英、德、意、葡)贝里；(匈)拜里
bear	prep. 在旁边；与……相比；紧靠；除……以外（还）；除……以外（不再）adv. 在附近；况且，此外
beard	prep. 除……之外（还）adv. 况且，再说；此外，以及adj.最好的adv.最好地,最,极n.最佳状态或作品,最好的东西n.赌,打赌v.赌,赌钱
bearing	vt. 背叛；出卖；泄露（秘密）；露出…迹象adj.较好的adv.更好的,更多的,更佳的
beast	prep. （空间、时间、数量等）在……之间；往返于；（表关系）两……之间；合用；一起adv. （时间或空间）介于……之间；在期间
beat	vt. 使迷惑，使不知所措
beautiful	prep. 在（或向）……较远的一边；超过，越过；晚于，迟于adv. 在另一边；在（或向）更远处n. 远处的事物；来世，再生
beauty	n. 偏见；偏爱；斜纹；乖离率vt. 使存偏见adj. 偏斜的adv. 偏斜地
because	n. (Bias)人名；(法、德、葡、喀)比亚斯；(英)拜厄斯
become	n. 圣经
bed	n. 参考书目；文献目录
bee	n. 自行车vi. 骑脚踏车vt. 骑自行车运送vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付
beef	adj. 大的；重要的；量大的adv. 大量地；顺利；夸大地n. （Big）（土）比格（人名）
beer	n. 自行车；脚踏车vi. 骑自行车（或摩托车）n. (Bike)人名；(土、土库、塞)比克
before	n. [法] 法案；广告；账单；[金融] 票据；钞票；清单vt. 宣布；开账单；用海报宣传
beforehand	n. 十亿；大量num. 十亿adj. 十亿的n. （Billion）（法）比利翁（人名）
beg	vi. 结合；装订；有约束力；过紧vt. 绑；约束；装订；包扎；凝固
beggar	n. 捆绑；困境；讨厌的事情；植物的藤蔓n. (Bind)人名；(德)宾德
begin	n. 传记；档案；个人简介
beginner	n. （一个地区全部的）生物；生物学499500515516
beginning	n. 鸟；家伙；羽毛球vt. 向…喝倒彩；起哄vi. 猎鸟；观察研究野鸟
behalf	n. (Bird)人名；(英、西)伯德
behave	n. 出生；血统，出身；起源
behavior	n. 生日，诞辰；诞生的日子
behind	n. 小点心，饼干n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制 vbl.咬n.[计]位,比特
being	vt. 咬；刺痛n. 咬；一口；咬伤；刺痛vi. 咬；刺痛abbr. 机内测试设备（Built-In Test Equipment）n. (Bite)人名；(匈)比泰
belief	adj. 苦的；痛苦的；尖刻的；充满仇恨的n. 苦味；苦啤酒adv. 激烈地；严寒刺骨地vt. 使变苦n. (Bitter)人名；(英、法、德、芬、捷、匈)比特
believe	adv. 苦涩地，悲痛地，残酷地，怨恨地；极其，非常，强烈地
bell	adj. 奇异的（指态度，容貌，款式等）n.黑色,黑颜料,黑人adj.黑色的,弄脏了的,忧郁的vt.(使)变黑,涂黑
belong	n. 黑板
beloved	n. 叶片；刀片，刀锋；剑
below	vt. 责备；归咎于n. 责备；责任；过失adj.空白的,空着的,失色的,没有表情的n.空白,美 表格
belt	n. 毛毯，毯子；毯状物，覆盖层adj. 总括的，全体的；没有限制的
bench	vt. 覆盖，掩盖；用毯覆盖
bend	n. 爆炸；冲击波；一阵vi. 猛攻vt. 爆炸；损害；使枯萎n. (Blast)人名；(德)布拉斯特n.火焰,光辉,情感爆发vi.燃烧,照耀,激发vt.在树皮上刻路标,公开宣布
beneath	adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
beneficial	vt. 使出血；榨取vi. 流血；渗出；悲痛
benefit	vt. 混合vi. 混合；协调n. 混合；掺合物
berry	vt. 祝福；保佑；赞美n. (Bless)人名；(英、意、德、匈)布莱斯
beside	adj. 盲目的；瞎的adv. 盲目地；看不见地n. 掩饰，借口；百叶窗
besides	vt. 使失明；使失去理智n. (Blind)人名；(法)布兰；(德、瑞典)布林德
best	n. 块；街区；大厦；障碍物vt. 阻止；阻塞；限制；封盖adj. 成批的，大块的；交通堵塞的n. (Block)人名；(英、法、德、西、葡、芬、罗)布洛克
bet	n. 血，血液；血统vt. 从…抽血；使先取得经验n. (Blood)人名；(英、西)布拉德
betray	n. 花；青春；旺盛vt. 使开花；使茂盛vi. 开花；茂盛n. (Bloom)人名；(瑞典、西)布洛姆；(英)布卢姆
better	n. 花；开花期；兴旺期；花开的状态；漂亮的人v. 开花；兴旺；成功发展n. (Blossom) 布洛瑟姆（人名）n.殴打,突然的打击v.风吹,吹气于,叫,喘气n.蓝色adj.蓝色的,忧郁的,沮丧的
bewilder	adj. 钝的，不锋利的；生硬的；直率的vt. 使迟钝n. (Blunt)人名；(英)布伦特
bias	n. (Blush)人名；(英)布拉什526532533534536543547550
Bible	n. 董事会；木板；甲板；膳食vt. 上（飞机、车、船等）；用板盖上；给提供膳宿vi. 寄宿n. (Board)人名；(英、西)博德
bibliography	vt. 夸口说，自吹自擂说；以有…而自豪n. 自夸；值得夸耀的事物，引以为荣的事物vi. 自吹自擂n. (Boast)人名；(英)博斯特
bicycle	n. 小船；轮船vi. 划船
bid	n. 身体；主体；大量；团体；主要部分vt. 赋以形体n. (Body)人名；(英、法、罗)博迪n.沸点,沸腾,疖子v.煮沸,激动
big	adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的n. (Bold)人名；(英、德、罗、捷、瑞典)博尔德n.门闩,螺钉,闪电,跑掉v.上门闩,囫囵吞下,逃跑
bike	n. 炸弹；长传；气溶胶弹式容器；像炸弹的物体（如火山弹）；掺大麻的香烟；（钓鱼的）梨形重物v. 轰炸，投弹；疾行；（考试、演出等）惨败
bill	n. 债券；结合；约定；粘合剂；纽带vi. 结合，团结在一起vt. 使结合；以…作保n. (Bond)人名；(英、德、西、刚(金)、瑞典)邦德
billion	n. 骨；骨骼vt. 剔去……的骨；施骨肥于vi. 苦学；专心致志n.（Bone）（英）博恩；（法、西、罗、塞）博内；（老）奔（人名）
biography	n. 书籍；卷；账簿；名册；工作簿vt. 预订；登记n. (Book)人名；(中)卜(广东话·威妥玛)；(朝)北；(英)布克；(瑞典)博克n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传
biology	vt. 促进；增加；支援vi. 宣扬；偷窃n. 推动；帮助；宣扬n.(Boost)人名；(英)布斯特；(德)博斯特n.美 (长统)靴,靴子v.导入
bird	n. 货摊；公用电话亭n. (Booth)人名；(英)布思；(德、瑞典)博特
birth	n. 边境；边界；国界vt. 接近；与…接壤；在…上镶边vi. 接界；近似n. (Border)人名；(英)博德
birthday	vi. 钻孔vt. 钻孔；使烦扰n. 孔；令人讨厌的人n. (Bore)人名；(法)博尔；(塞、马里)博雷
biscuit	v. 出生；出现（bear 的过去分词）adj. 天生的；出生的；天赋的；创造的n. (Born) （美、德、爱、英、丹）博恩（人名）
bit	vi. 借；借用；从其他语言中引入vt. 借；借用n. (Borrow)人名；(英)博罗
bitterly	det. 双方，两者pron. 双方，两者adv. 双方都，两者都；不仅……而且……conj. 既……且……；并；两者皆n. (Both) 博特（人名）
bizarre	vt. 烦扰，打扰；使……不安；使……恼怒vi. 操心，麻烦；烦恼n.麻烦；烦恼
black	n. 瓶子；一瓶的容量vt. 控制；把…装入瓶中vi. （街头艺人演出后）收拢钱币
blackboard	n. 底部；末端；臀部；尽头adj. 底部的vt. 装底；测量深浅；查明真相vi. 到达底部；建立基础n. (Bottom)人名；(英)博顿
blade	n. 大树枝n. (Bough)人名；(英)博夫555v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制
blame	n. 边界；范围；分界线
blank	n. 弓；蝴蝶结；琴弓；船头v. 鞠躬，点头；低（头）；屈从；（使）弯曲；用琴弓拉奏（弦乐器）n. (Bow) （美、英、爱尔兰）鲍（人名）
blanket	n. 碗；木球；大酒杯vi. 玩保龄球；滑动；平稳快速移动vt. 投球；旋转；平稳快速移动n.盒子,箱,包厢,岗亭,一拳v.装...入盒中,打耳光,拳击
blast	n. 男孩；男人n. (Boy) （美、印、法、荷）布瓦（人名）
blaze	v. 联合抵制；拒绝购买；拒绝参加n. 联合抵制n. (Boycott) 博伊科特（人名）n.支柱,带子,振作精神vt.支住,撑牢,振作起来,奋起adj.曲柄的v.支持
bleak	n. 支架，墙上凸出的托架；括号；等级，范围vt. 括在一起；把…归入同一类；排除
bleed	n. 头脑，智力；脑袋vt. 猛击…的头部n. (Brain)人名；(英)布雷恩564584
blend	n. 刹车；阻碍（物）；敞篷四轮马车；纤维捣碎机；灌木丛；欧洲蕨
bless	v. 刹车；阻碍
blood	n. 黄铜；黄铜制品；铜管乐器；厚脸皮；位高权重者n. （Brass）（英、法、德）布拉斯（人名）adj.勇敢的
bloom	n. 巴西（拉丁美洲国家）
blossom	adj. 巴西的；巴西人的n. 巴西人
blow	n. 面包；生计vt. 在…上洒面包屑
blue	n. 宽度，幅度；宽宏n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变
blunder	n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
blunt	n. 早餐；早饭vi. 吃早餐vt. 为…供应早餐
blush	n. 乳房，胸部；胸怀；心情vt. 以胸对着；与…搏斗
board	n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
boat	n. 微风；轻而易举的事；煤屑；焦炭渣；小风波vi. 吹微风；逃走n.(Breeze)人名；(法)布雷兹
body	v. 向……行贿；诱哄（尤指小孩）n. 贿赂；（尤指用来哄小孩做事的）好处n. (Bribe) （美）布里韦（人名）
boil	n. 砖，砖块；砖形物；心肠好的人vt. 用砖砌adj. 用砖做的；似砖的n. (Brick)人名；(英、法、瑞典)布里克
bold	n. 桥；桥牌；桥接器；船桥vt. 架桥；渡过n. (Bridge)人名；(英)布里奇
bolt	adj. 简短的，简洁的；短暂的，草率的n. 摘要，简报；概要，诉书
bonus	n. (Brighten)人名；(英)布赖滕
boom	n. 边；边缘；帽檐vi. 满溢；溢出vt. 使……满溢n. （Brim）（英）布里姆（人名）
boost	vt. 带来；提供；引起；使处于某种情况或境地；使朝某方向移动；指控；强迫（自己）n. （Bring）（英、瑞典）布林（人名）
boot	adj. 敏锐的，活泼的，轻快的；凛冽的vi. 活跃起来；变得轻快vt.使……活泼；使……轻快；使……兴旺n. (Brisk)人名；(法、芬)布里斯克
booth	n. 刚毛；粗硬短须，胡子楂；刷子毛；猪鬃v. （毛发）竖起；发怒；被侵犯；戒备
border	n. 英国；不列颠
bore	adj. 英国的，大不列颠及北爱尔兰联合王国的；英国人的；英联邦的；大英帝国的n. 英国人
borrow	adj. 宽的，辽阔的；显著的；大概的n. 宽阔部分adv. 宽阔地n.(Broad)人名；(英、德)布罗德n.广播,播音v.播撒(种子),广播 (无线电或电视)广播 播送,播放
bosom	adj. 破碎的；坏掉的v. 折断；打碎；损坏（break的过去分词）598604611
boss	n. 青铜；古铜色；青铜制品adj. 青铜色的；青铜制的vt. 镀青铜于
bother	n. 小溪，小河v. 容忍，允许（尤指不同意见）n. (Brook) （加、美、爱、英）布鲁克（人名）
bottle	n. 扫帚；金雀花；飞天扫帚（出自《哈利·波特》）vt. 扫除vi. 桩顶开花或开裂n. （Broom）（英）布鲁姆（人名）
bough	n. 眉，眉毛；额；表情n. (Brow)人名；(西)布劳
bounce	adj. 棕色的，褐色的；太阳晒黑的vi. 变成褐色n. 褐色，棕色vt.使变成褐色n. (Brown)人名；(英、意、芬、捷、德、法、西、葡)布朗
bound	n. 擦伤；挫伤；青肿vt. 使受瘀伤；使受挫伤vi. 擦伤；受伤
boundary	n. 刷子；画笔；毛笔；争吵；冲突；灌木丛地带；矮树丛；狐狸尾巴
bowl	adj. 残忍的；野蛮的，不讲理的adj.残忍的,畜生般的n.残忍的人,畜生
box	n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶vi. 沸腾，冒泡；发出气泡声vt. 使冒泡；滔滔不绝地说
